冊別,類型,篇名,來源單元,題號,題目,選項A,選項B,選項C,選項D,選項E,選項F,正確答案,解析,題目卷檔名,答案卷檔名
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,14,"The boy ate nothing this morning, ? Take these buns and milk to him, please.",was it,wasn't it,did he,didn't he,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,15,Both of my children always finish own homework themselves without any help.,they,them,their,theirs,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,16,"Mr. Tseng is a very person. Every time we talk with him, we always have a lot of fun.",interesting,interested,troubling,troubled,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,17,The old man doesn't know any words. Would you mind the letter from his son for him?,read,reading,to read,being read,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,18,"In the 18th century (世紀) in Europe, women very wide skirts, and they couldn't get through
normal doors easily.",wear,had worn,wore,were wearing,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,19,J. K. Rowling's Harry Potter is very popular. It over 1 million copies in the world so far.,sells,sold,will sell,has sold,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,20,"Brian: You look unhappy all morning. What's up?
Mary: I to bring my math workbook today so Mr. Lin was angry with me.",forgot,forget,remembered,remember,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,21,Kelly and Sam are the two students everyone likes very much.,which,who,what,how,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,22,"In Taiwan, most people live a better life than before; , there are still many poor people who need
your help.",and,but,then,however,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,23,"Jenny: Can you tell me about your future plan?
Wendy: I work hard to be a famous doctor.
Jenny: That sounds great! I hope your dream can come true.",must,will,could,might,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,24,The door bell while my father was cleaning the room.,rang,rings,is ringing,has rung,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,25,"Nora: Look! The glass on the table !
Lisa: Is it an earthquake (地震)?",has shaken,was shaking,will shake,is shaking,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,26,"Eric: The news said there was a serious accident last night and four people died.
Harry: How terrible!",what,that,which,who,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,27,"Taking the Taiwan High Speed Rail is convenient it takes only 100 minutes from Taipei
to Kaohsiung.",too; to,not only; but also,as; as,so; that,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,28,"When visitors get to Hualien, the first thing may impress (深刻印象) them is the beautiful
mountains and sea.",that,who,which,what,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,29,"Tony felt thirsty, hungry and tired he played a lot of basketball.",when,if,after,where,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,30,The mother asks her children to finish their homework they go to bed.,after,because,though,before,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,31,"On Valentine's Day, my father always buys a box of chocolate my mother as the present every
year.",with,to,for,of,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,32,"My uncle was a PE teacher and he teach us how to play tennis before. That's why we all can play
tennis so well.",is used to,used,used to,was used to,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,33,"Ella: the weather today?
Hebe: Pretty good. It's not too hot, not too cold.",What's,How's,Where's,Who's,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,34,"Mr. Lin: It's cold here. Would you mind closing the windows?
John: We've closed the windows but one of them .",break,broke,has broken,is broken,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,35,"Karen: We will go mountain climbing tomorrow. Can you go with us?
Cathy: because I have to take care of my baby brother.","Yes, I can","Yes, I do","No, I can't","No, I don't",,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,36,"Sam: You practice playing basketball a lot.
Peter: Yeah. There an important game next week.",will have,will be,was,has,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,37,"Allen: Hello! My name is Allen. you Linda?
Judy: No, I'm Judy. Linda is my twin sister.",Do,Does,Are,Is,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,38,"Lucy: is your favorite color, pink or purple?
Maggie: Purple.",Where,When,What,Which,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,39,"Ken: was your trip this summer?
Helen: It was great. New Zealand is such a beautiful country. I hope I could go there again.",Where,When,What,How,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,40,"Sue: was your little sister in the picture then?
Tom: She was seven at that time.",How much,How old,What time,What day,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,41,My parents always hold a birthday party my birthday.,in,on,at,with,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,42,"There were only some boys in the classroom, ?",weren't there,were there,weren't they,were they,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,43,"up early, or you'll be late for school.",To get,Getting,Get,Got,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,44,"Tom: I like the girl pink. Do you know who she is?
Bob: Yes, she's my neighbor, Judy.",in,on,with,by,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,45,"for everything you have, and you'll have a happy life.",Thankful,Being thankful,Be thankful,,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,46,"Mary plays the piano very well, ?",does Mary,doesn't Mary,does she,doesn't she,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,47,"Lucy: didn't John come to school yesterday?
May: He caught a bad cold.",How,What,Where,Why,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,48,"Mother: food did you buy for the party?
John: Five bottles of juice, two pounds of beef and some snacks.",How long,How much,How many,How often,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,49,of the novels（小說） on the desk is about the famous writers in America.,A few,A lot,Both,One,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,50,"Joe: What do you like?
Mary: I love elephants and koalas.",festivals,teams,animals,sports,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,51,He doesn't understand what you said. Could you give him ?,an excuse,an example,an exercise,an entrance,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,52,"Mr. Wang: The notebook is 12 dollars.
Allen: Sorry. I don't have any with me. Here's 50 dollars.",money,check,bill,change,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,53,There are many trees in Taroko National Park. of them are over one hundred years old.,Both,Most,One,Much,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,54,"Nora and Fred are good friends, and are baseball fans.",all of them,both of them,some of them,one of them,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,55,They've finished the first story. Now they're going to read .,second,the second,two,the two,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,56,"If Jack finishes his homework before eight o'clock, his parents will let him TV for one hour.",watch,watching,to watch,have watched,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,57,Would you like to a movie with me?,go,going,to go,for going,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,58,I didn't hear you in. When did you come back?,come,to come,came,have come,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,59,"Allen: Do you like watching sport programs on TV?
Jack: No, I don't, but my twin brother . He's a good player.",is,was,has,does,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,60,"Sam: How many boxes in your room?
Joe: Only one.",are there,are they,is there,is it,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,61,I bought a nice watch as a birthday present.,me,mine,myself,I,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,62,"John got three toys from his grandmother on his birthday, and he liked very much.",his,it,them,ones,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,63,"Tom: Is this Mary's sweater over there?
Hank: Yes, I think it's .",its,his,her,hers,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,64,You look in black jeans than in white ones.,thin,thinnest,the thinnest,thinner,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,65,"Debby: How long does it take from here to the library?
Lily: About twenty minutes.",to walk,walking,walk,walked,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,66,We are excited about Taitung next week.,visit,visited,visiting,visits,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,67,"Emma hurt her leg yesterday, so she can't walk .",quickly,quick,quicker,the quickest,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,68,Ted lost his dog. He was sad because he had no idea where it.,find,to find,found,finding,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,69,We enjoy a hot spring bath in winter.,take,to take,took,taking,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,70,"Amanda wears a smile on her face, and that's why people like her so much.",seldom,once,always,never,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,71,"Bill works in a big company, and he is too busy have dinner with his family every day.",to,for,on,in,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,72,My sister plans abroad after graduating from college.,study,studied,studying,to study,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,73,People in Nantou are glad to hear that the houses by the typhoons are going to be rebuilt soon.,destroy,destroying,destroyed,to destroy,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,74,hiking with family on weekends is a lot of fun after a tiring week.,Going,Gone,Went,Go,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,75,"Mark didn't go to Jenny's birthday party last night, and I didn't, .",neither,so,either,too,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,76,"Mr. Wu: It's very dangerous ball on the street, John. Don't do that again!John: Sorry.",playing,to play,play,played,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,77,Amy is a good student. She not only studies hard in school also likes to help others.,and,but,either,neither,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,78,"Sam is 180 centimeters tall, and he is boy in my class.",tall,taller,tallest,the tallest,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,79,Uncle Robin sometimes asked his son to clean his neighbor's garden.,help,helping,helpeded,to help,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,80,Our teacher always tells us is a pleasure to do our best to help others.,he,this,that,it,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,81,People live in the country usually have easier and more comfortable life.,where,which,who,what,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,82,"Jolin: Could you lend me your cell phone?
Joan: OK, but please use it carefully. It me a lot.",took,spent,paid,cost,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,83,"Bruce has never given his parents any calls since he came here, he?",does,doesn't,has,hasn't,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,84,"This photo is an important evidence (證據) for the accident. Please give it to the police officer if he
later.",comes,will come,came,is coming,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,85,"Elementary school students can't ride motorcycles, and can junior high students.",so,neither,too,either,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,86,"Doctor: Let him sleep for a while. He's weak have a talk with you.
Joseph: All right. I'll follow you.",both; and,too; to,so; that,not only; but also,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,87,"Stranger: Excuse me, Ms. can I get to the post office?
Ms. Wu: Go along the street and turn right at the first traffic light. You'll see it in ten minutes on your left side.",Why,Where,When,How,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,88,Jennifer often her mother wash the dishes after dinner when she was young.,helped,told,asked,wanted,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,89,"Ted: I that you got a new car. What color is it?
Sam: White. I got it last week.",tell,told,have told,was told,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,90,It is easy me to make up my mind. I've already stop smoking five times.,to,on,for,of,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,91,Many students are afraid they can't pass the big test in May.,to,of,what,that,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,92,A language that isn't anymore is called a dead language.,talked,spoken,read,said,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,93,"John: Who are you talking about?
Mark: We're talking about the woman long hair.",with,on,in,for,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,94,Mrs. Lin the Internet in the living room when her husband got home.,is surfing,has surfed,was surfing,will surf,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,95,"We're really lucky our school has so many trees and flowers. We hope we still have that kind of
school in senior high.",how,that,who,which,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,96,"Monica: does it take to finish junior high school in Taiwan?
Peter: It takes three years.",How fast,How long,How much,How many,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,97,Please don't tell Sue about my problem. I don't want her .,know,knowing,knew,to know,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,98,I seldom visit museums. I'm not very in old things.,interest,interesting,interested,to interest,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,99,We like to make friends with people are not proud.,who,where,when,which,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,100,The man blue pants is a great businessman.,on,in,with,for,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,101,"Before moving here last year, the Lins in Kaohsiung for six years.",live,lived,have lived,will live,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,102,Your son his homework since two o'clock. He is still writing it.,writes,wrote,has written,will write,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,103,"Steve started his report a week ago, and now he it. He can hand it in later.",finish,finished,will finish,has finished,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,104,"Jeff: People say Yangmingshan is very beautiful. Have you ever there?
Bob: Yes, many times. Don't forget. I live near there.",born,been,come,gone,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,105,"Ben: You have to go with them, don't you?
Harry: Yes, I .",will,have,do,am,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,106,"The two boys ate nothing this morning, ?",do they,don't they,did they,didn't they,,,C,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,107,"That's Mr. Black, ?",is he,isn't he,is it,isn't it,,,D,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,108,"Susan doesn't go to school by bus every day, ?",does she,doesn't she,is she,isn't she,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,109,"詞語搭配:請選出一個同時符合底下各題三個句子的單詞:
Can you dinner for me?
He likes to friends with new classmates.
My son can ten toy boxes a day.",get,make,have,take,,,B,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
英語第六冊,文法測驗,文法測驗,英語第六冊_文法測驗_文法測驗,110,"詞語搭配:請選出一個同時符合底下各題三個句子的單詞:
Please me a cola. I'm thirsty.
Go to bed earlier, or you won't enough rest.
Don't drop any tomato juice on your jacket, or it will dirty.",get,become,have,buy,,,A,,英語第六冊_文法測驗_文法測驗_題目卷.pdf,英語第六冊_文法測驗_文法測驗_答案卷.pdf
